Eval Num,f(x),f(x*),Elapsed Time
1,-78.97,-78.97000122070312,0.004076480865478516
2,-67.47,-78.97000122070312,0.012915372848510742
3,-88.92,-88.91999816894531,0.02148890495300293
4,-66.76,-88.91999816894531,0.028935670852661133
5,-84.57,-88.91999816894531,0.03286552429199219
6,-67.58,-88.91999816894531,0.037824153900146484
7,-93.71,-93.70999908447266,0.045419931411743164
8,-72.3,-93.70999908447266,0.05312490463256836
9,-82.89,-93.70999908447266,0.060613155364990234
10,-91.04,-93.70999908447266,0.06702923774719238
11,-77.39,-93.70999908447266,0.0714256763458252
12,-85.88,-93.70999908447266,0.07837486267089844
13,-73.33,-93.70999908447266,0.08545994758605957
14,-76.52,-93.70999908447266,0.09333300590515137
15,-73.97,-93.70999908447266,0.10015559196472168
16,-76.99,-93.70999908447266,0.10546135902404785
17,-71.33,-93.70999908447266,0.11431503295898438
18,-77.16,-93.70999908447266,0.12259745597839355
19,-81.01,-93.70999908447266,0.13154935836791992
20,-69.67,-93.70999908447266,0.13867950439453125
21,-94.41,-94.41000366210938,1.2901198863983154
22,-87.8,-94.41000366210938,2.3666863441467285
23,-90.52,-94.41000366210938,3.4188458919525146
24,-87.83,-94.41000366210938,4.470643758773804
25,-93.29,-94.41000366210938,5.520834922790527
26,-90.34,-94.41000366210938,6.606214761734009
27,-95.36,-95.36000061035156,7.676516771316528
28,-86.41,-95.36000061035156,8.75926160812378
29,-92.3,-95.36000061035156,9.829705715179443
30,-100.41,-100.41000366210938,10.931355714797974
31,-96.31,-100.41000366210938,12.01385235786438
32,-99.69,-100.41000366210938,13.086331844329834
33,-99.51,-100.41000366210938,14.151939153671265
34,-96.69,-100.41000366210938,15.239358901977539
35,-93.98,-100.41000366210938,16.321053504943848
36,-97.75,-100.41000366210938,17.52107810974121
37,-101.41,-101.41000366210938,18.627057790756226
38,-100.29,-101.41000366210938,19.73269748687744
39,-93.2,-101.41000366210938,20.927849292755127
40,-99.49,-101.41000366210938,22.05722689628601
41,-91.42,-101.41000366210938,23.19970417022705
42,-98.74,-101.41000366210938,24.345760583877563
43,-91.62,-101.41000366210938,25.494328498840332
44,-105.29,-105.29000091552734,26.646610975265503
45,-101.45,-105.29000091552734,27.806101322174072
46,-96.59,-105.29000091552734,28.984612703323364
47,-105.45,-105.44999694824219,30.181540966033936
48,-88.27,-105.44999694824219,31.397886514663696
49,-93.61,-105.44999694824219,32.617101192474365
50,-96.52,-105.44999694824219,33.824668169021606
51,-93.38,-105.44999694824219,35.04855418205261
52,-89.71,-105.44999694824219,36.254247426986694
53,-104.97,-105.44999694824219,37.48583006858826
54,-86.5,-105.44999694824219,38.695653200149536
55,-97.41,-105.44999694824219,39.96454071998596
56,-105.16,-105.44999694824219,41.19717335700989
57,-91.64,-105.44999694824219,42.62858748435974
