Eval Num,f(x),f(x*),Elapsed Time
1,17,17.0,0.009729862213134766
2,21,17.0,0.0194244384765625
3,18,17.0,0.029074668884277344
4,21,17.0,0.038719892501831055
5,24,17.0,0.0483553409576416
6,21,17.0,0.05800271034240723
7,19,17.0,0.06767749786376953
8,20,17.0,0.0772860050201416
9,27,17.0,0.08691930770874023
10,21,17.0,0.09654808044433594
11,17,17.0,0.10619425773620605
12,19,17.0,0.11583328247070312
13,24,17.0,0.12550067901611328
14,19,17.0,0.13515710830688477
15,25,17.0,0.14479994773864746
16,24,17.0,0.15442562103271484
17,18,17.0,0.16411805152893066
18,17,17.0,0.17382407188415527
19,22,17.0,0.18344569206237793
20,26,17.0,0.19310808181762695
21,21,17.0,8.317147731781006
22,18,17.0,16.58169174194336
23,19,17.0,24.96707510948181
24,23,17.0,33.41575479507446
25,22,17.0,42.012155055999756
26,29,17.0,50.688910245895386
27,23,17.0,59.341145038604736
28,19,17.0,68.11383199691772
29,20,17.0,76.93221545219421
30,24,17.0,85.80498886108398
31,13,13.0,94.83203077316284
32,24,13.0,104.00111508369446
33,16,13.0,113.20035767555237
34,23,13.0,122.57880401611328
35,22,13.0,132.02565336227417
36,20,13.0,141.49615788459778
37,27,13.0,151.0880949497223
38,16,13.0,160.80986785888672
39,20,13.0,170.53691005706787
40,18,13.0,180.34806752204895
41,24,13.0,190.17861461639404
42,15,13.0,200.11376309394836
43,25,13.0,210.1129162311554
44,21,13.0,220.13447523117065
45,22,13.0,230.22160243988037
46,21,13.0,240.37100195884705
47,21,13.0,250.56065034866333
48,24,13.0,260.85460352897644
49,21,13.0,271.22900223731995
50,25,13.0,281.60176634788513
51,18,13.0,292.0609390735626
52,14,13.0,302.5579216480255
53,21,13.0,313.0683214664459
54,24,13.0,323.666446685791
55,21,13.0,334.2792959213257
56,22,13.0,344.8708734512329
57,23,13.0,355.52868914604187
58,15,13.0,366.22375774383545
59,27,13.0,376.882333278656
60,26,13.0,387.6460416316986
61,20,13.0,398.41994047164917
62,20,13.0,409.21362805366516
63,22,13.0,420.00116181373596
64,20,13.0,430.79341173171997
65,23,13.0,441.6204948425293
66,21,13.0,452.4957547187805
67,15,13.0,463.3935284614563
68,21,13.0,474.27017045021057
69,25,13.0,485.18048906326294
70,23,13.0,496.09469652175903
71,15,13.0,507.04637002944946
72,21,13.0,518.0022847652435
73,19,13.0,528.9377770423889
74,20,13.0,539.8587758541107
75,15,13.0,550.8278248310089
76,20,13.0,561.7664566040039
77,18,13.0,572.7402436733246
78,14,13.0,583.7802515029907
79,19,13.0,594.7641909122467
80,29,13.0,605.7911717891693
81,25,13.0,616.8308653831482
82,22,13.0,627.8882641792297
83,18,13.0,638.9633095264435
84,18,13.0,650.0125515460968
85,22,13.0,661.0210552215576
86,25,13.0,672.0920903682709
87,22,13.0,683.1786379814148
88,22,13.0,694.2839689254761
89,17,13.0,705.4034051895142
90,20,13.0,716.5006704330444
91,22,13.0,727.5735173225403
92,17,13.0,738.6704187393188
93,22,13.0,749.78165102005
94,24,13.0,760.8597548007965
95,21,13.0,771.9888296127319
96,19,13.0,783.1469340324402
97,21,13.0,794.2475068569183
98,21,13.0,805.4131264686584
99,21,13.0,816.594863653183
100,15,13.0,827.7581026554108
101,22,13.0,838.9516289234161
102,24,13.0,850.140869140625
103,21,13.0,861.2975869178772
104,15,13.0,872.4978380203247
105,14,13.0,883.6979684829712
106,18,13.0,894.9250981807709
107,20,13.0,906.1550922393799
108,23,13.0,917.3283896446228
109,18,13.0,928.5559558868408
110,22,13.0,939.8115003108978
111,17,13.0,951.034339427948
112,16,13.0,962.305403470993
113,22,13.0,973.5730903148651
114,21,13.0,984.8077747821808
115,20,13.0,996.0910227298737
116,29,13.0,1007.3766078948975
117,20,13.0,1018.6452150344849
118,26,13.0,1029.924829006195
119,24,13.0,1041.2322113513947
120,20,13.0,1052.4789764881134
121,26,13.0,1063.7867817878723
122,25,13.0,1075.0895397663116
123,17,13.0,1086.3638508319855
124,24,13.0,1097.6723272800446
125,25,13.0,1109.034324645996
126,21,13.0,1120.3185002803802
127,23,13.0,1131.7161526679993
128,21,13.0,1143.102462530136
129,15,13.0,1154.4328949451447
130,30,13.0,1165.8959875106812
131,21,13.0,1177.403975725174
132,19,13.0,1188.88613820076
133,27,13.0,1200.3784108161926
134,16,13.0,1211.8650388717651
135,23,13.0,1223.3173344135284
136,18,13.0,1234.8068776130676
137,22,13.0,1246.2380058765411
138,22,13.0,1257.7044699192047
139,16,13.0,1269.173888206482
140,22,13.0,1280.6033194065094
